Sequence,Interface ID,Internal Cycle Type,Internal Cycle Detail,Internal  Delivery Time,Internal Delivery Time Detail,External Cycle Type,External Cycle Day,External Batch Start Time,External Batch End Time,External Delivery Time Detail,Hard Dependency Description
41,2010,Montlhy,"Twice monthly, Payroll Calendar",TBD,Day 4,Nightly,OnDemand,AdHoc,AdHoc,,2104
42,2010 IDL DT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,2010
35,2012,Monthly,"Twice monthly, Payroll Calendar",3:30pm,Day 3,N/A,N/A,N/A,N/A,,N/A
56,2013,Daily,Sun-Sat,1:15am,,Nightly,Mon-Sun,10:00pm,6:00am,,N/A
69,2014,Daily,Sun-Sat,7:00am,between 7am and 8am,Nightly,Mon-Sun,10:00pm,6:00am,,N/A
70,2015,Daily,Sun-Sat,7:00am,between 7am and 8am,Nightly,Mon-Sun,10:00pm,6:00am,,N/A
76,2016,Daily,Mon-Fri,4:00am,,OnDemand,OnDemand,AdHoc,AdHoc,,2109 (834)
60,2017,Daily,Sun-Sat,11:30am,,Nightly,Mon-Sun,10:00pm,6:00am,,2018
61,2018,Daily,Sun-Sat,11:30am,,Nightly,Mon-Sun,10:00pm,6:00am,,N/A
62,2019,Daily,Sun-Sat,11:30am,,Nightly,Mon-Sun,10:00pm,6:00am,,2017
59,2020,Daily,Mon-Fri,5:30am,Between 5:30am and 7:00am,Nightly,Mon-Sun,10:00pm,6:00am,,N/A
83,2040,Daily,Mon-Fri,4:00am,,N/A,N/A,N/A,N/A,,2109 (834)
48,2024,Daily,Sun-Sat,6:30pm,,Nightly,Mon-Sun,10:00pm,6:00am,,N/A
49,2025,Adhoc,OnDemand,Adhoc,OnDemand,N/A,N/A,N/A,N/A,,2024
78,2026,Daily,Mon-Fri,7:45pm,,Nightly,Mon-Sun,10:00pm,6:00am,,N/A
84,2040 IDL DT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,2040
63,2028,Daily,Sun-Sat,6:30am,,Nightly,Mon-Sun,10:00pm,6:00am,,N/A
79,2029,Daily,Mon-Fri,7:45pm,,Nightly,Mon-Sun,10:00pm,6:00am,,N/A
64,2030,Daily,Sun-Sat,6:30am,,Nightly,Mon-Sun,10:00pm,6:00am,,N/A
53,2031,Daily,Mon-Fri,11:30am,,Nightly,Mon-Sun,10:00pm,6:00am,,N/A
47,2036,Daily,Mon-Fri,2:00pm,,Nightly,Mon-Sun,10:00pm,6:00am,,N/A
46,2037,Monthly,1st and 15th,TBD,,OnDemand,OnDemand,AdHoc,AdHoc,,2027
54,2038,Daily,Mon-Fri,11:30am,,Nightly,Mon-Sun,10:00pm,6:00am,,N/A
55,2039,Monthly,8th day,7:00pm,,Weekly,Sunday,10:00pm,6:00am,w/ Nightly Batch,N/A
37,2104,Montlhy,"Twice monthly, Payroll Calendar",TBD,Day 3,Payroll,Day 3,3:00pm,3:00am,"Day 3, every 30 minute for 12 hours",2012
11,2041,Daily,Sat-Sun,6:30pm,,Nightly,Mon-Sun,10:00pm,6:00am,,N/A
12,2042,Daily,Sun-Sat,6:30pm,,Nightly,Mon-Sun,10:00pm,6:00am,,2041
13,2044,Monthly,5th Day,7:00am,,Weekly,Sunday,10:00pm,6:00am,w/ Nightly Batch,N/A
14,2045,Monthly,5th Day,3:30pm,,Weekly,Sunday,10:00pm,6:00am,w/ Nightly Batch,2042
30,2048,Monthly,Monthly,7:00am,,Weekly,Sunday,10:00pm,6:00am,w/ Nightly Batch,N/A
24,2049,Monthly,5th Day,7:00am,,Weekly,Sunday,10:00pm,6:00am,w/ Nightly Batch,N/A
66,2050,Montlhy,Monthly,11:00pm,,Weekly,Sunday,10:00pm,6:00am,w/ Nightly Batch,N/A
67,2051,Daily,Mon-Fri,7:45pm,,Nightly,Mon-Sun,10:00pm,6:00am,,N/A
68,2052,Daily,Mon-Fri,4:00am,,N/A,N/A,N/A,N/A,,2051
